matcher,index,points,range,zone,radius,found,repeat,timesum,timeavg
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.25,0.25,52,100,144,1.450
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.25,0.125,12,100,46,0.463
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.25,0.0625,3,100,18,0.182
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.25,0.03125,1,100,9,0.096
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.25,0.015625,1,100,6,0.061
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.25,0.0078125,1,100,5,0.054
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.125,0.5,206,100,501,5.011
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.125,0.25,49,100,132,1.321
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.125,0.125,11,100,42,0.423
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.125,0.0625,4,100,16,0.162
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.125,0.03125,1,100,8,0.084
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.125,0.015625,1,100,5,0.052
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.125,0.0078125,1,100,4,0.044
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0625,0.5,202,100,503,5.031
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0625,0.25,54,100,202,2.020
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0625,0.125,10,100,78,0.786
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0625,0.0625,3,100,24,0.248
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0625,0.03125,1,100,12,0.128
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0625,0.015625,1,100,9,0.093
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0625,0.0078125,1,100,7,0.073
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.03125,0.5,197,100,502,5.028
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.03125,0.25,48,100,143,1.433
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.03125,0.125,12,100,45,0.450
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.03125,0.0625,4,100,18,0.181
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.03125,0.03125,1,100,9,0.099
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.03125,0.015625,1,100,6,0.061
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.03125,0.0078125,1,100,5,0.052
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.015625,0.5,204,100,482,4.824
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.015625,0.25,51,100,136,1.361
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.015625,0.125,12,100,44,0.445
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.015625,0.0625,2,100,32,0.322
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.015625,0.03125,1,100,21,0.217
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.015625,0.015625,1,100,7,0.080
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.015625,0.0078125,1,100,5,0.055
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0078125,0.5,202,100,462,4.623
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0078125,0.25,48,100,131,1.311
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0078125,0.125,9,100,63,0.636
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0078125,0.0625,3,100,17,0.177
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0078125,0.03125,1,100,9,0.091
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0078125,0.015625,1,100,5,0.059
HsqlHtmidMatcherImpl,HTMID,4198401,64.0,0.0078125,0.0078125,1,100,4,0.049
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.5,0.5,802,100,923,9.238
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.5,0.25,197,100,251,2.512
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.5,0.125,52,100,76,0.765
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.5,0.0625,11,100,27,0.270
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.5,0.03125,3,100,12,0.129
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.5,0.015625,1,100,6,0.070
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.5,0.0078125,1,100,5,0.053
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.25,0.5,804,100,915,9.150
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.25,0.25,207,100,250,2.507
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.25,0.125,47,100,76,0.768
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.25,0.0625,12,100,27,0.274
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.25,0.03125,3,100,13,0.134
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.25,0.015625,1,100,6,0.069
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.25,0.0078125,1,100,5,0.057
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.125,0.5,803,100,896,8.966
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.125,0.25,203,100,250,2.506
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.125,0.125,50,100,76,0.769
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.125,0.0625,12,100,26,0.264
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.125,0.03125,3,100,12,0.126
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.125,0.015625,1,100,6,0.064
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.125,0.0078125,1,100,15,0.153
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0625,0.5,804,100,877,8.776
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0625,0.25,203,100,236,2.362
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0625,0.125,48,100,72,0.723
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0625,0.0625,12,100,25,0.251
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0625,0.03125,3,100,12,0.125
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0625,0.015625,1,100,6,0.064
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.0625,0.0078125,1,100,4,0.049
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.03125,0.5,807,100,881,8.813
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.03125,0.25,201,100,250,2.503
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.03125,0.125,51,100,76,0.764
HsqlHtmidMatcherImpl,HTMID,4198401,32.0,0.03125,0.0625,11,100,27,0.275
